quarter,dong_code,dong_name,industry_code,industry_name,store_count,monthly_sales,weekday_sales,weekend_sales,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,time_00_06_sales,time_06_11_sales,time_11_14_sales,time_14_17_sales,time_17_21_sales,time_21_24_sales,male_sales,female_sales,age_10_sales,age_20_sales,age_30_sales,age_40_sales,age_50_sales,age_60_above_sales,monthly_count,weekday_count,weekend_count,mon_count,tue_count,wed_count,thu_count,fri_count,sat_count,sun_count,time_00_06_count,time_06_11_count,time_11_14_count,time_14_17_count,time_17_21_count,time_21_24_count,male_count,female_count,age_10_count,age_20_count,age_30_count,age_40_count,age_50_count,age_60_above_count,extrapolation_flag,confidence,source,lower_95,upper_95,kosis_index
20192,11440610,염리동,CS100002,중식음식점,2,23221223,14012992,9208231,2839305,2570126,3677948,2521875,2376058,5260631,3975277,525564,233,41,532,761,22694089,12954419,10266803,59758,4142841,5611158,4075952,7052544,2278967,606,375,230,80,67,90,55,74,144,94,151,2,2,4,5,440,318,288,14,183,108,109,157,33,False,0.7110000000000001,imputed_v4,,,117.6
20192,11440630,신수동,CS100003,일식음식점,3,103602994,59338232,44264761,13423343,11173633,14878211,5641989,17425638,30411698,10648479,62556,5,42,3184,76185046,27352158,66138347,37464647,8,3718027,15143136,39781043,26058623,18902154,1191,813,377,131,167,209,130,185,250,115,32,1,3,8,675,471,699,491,4,136,248,468,226,105,False,0.7110000000000001,imputed_v4,,,117.6
20192,11440655,서강동,CS100007,치킨전문점,7,359447611,272918897,86528713,47139366,45338398,56431588,50896347,63862213,42906308,52873389,69002153,21,583133,12255401,147485041,130121858,207504886,151942724,1148574,79214718,60201066,85136179,78432985,55314087,2260,1576,684,336,276,319,310,338,335,344,352,0,37,126,1050,692,1314,946,28,410,490,512,518,299,False,0.7110000000000001,imputed_v4,,,117.6
20192,11440700,망원2동,CS100003,일식음식점,8,1785237714,1325202761,460034952,222243101,282112877,296214544,276358303,316212923,322877107,69218856,133300,42227,325167123,204345280,1207337419,48212363,982811000,802426713,16461534,722250093,434411318,342190713,220990513,48933541,9994,7519,2474,1290,1606,1495,1662,1667,1622,648,30,8,3160,1709,4632,453,5388,4605,203,4242,2224,1741,1311,270,True,0.4,extrapolated_v4,,,117.6
20192,11440700,망원2동,CS100004,양식음식점,5,572954917,346290987,226663930,896129,91289779,4550571,105217077,92564985,143344100,135092273,4448,773,168524970,101415393,302652329,357001,326189235,246765681,75495,147378895,161797665,135544765,97275301,30882793,5979,4010,1968,95,1018,398,1037,1044,1272,1113,5,3,2334,1058,2488,89,3298,2680,35,1878,1821,1362,691,190,False,0.7110000000000001,imputed_v4,,,117.6
20192,11440730,성산2동,CS100004,양식음식점,4,422124493,237565549,184558943,736,53427812,39358410,59490328,53546071,111581373,104719759,1441,9374,130765160,76765398,203762379,10820738,245803644,176320848,49303,99891389,101211835,106492061,83450920,31028983,6383,3960,2422,5,854,730,944,1020,1415,1413,4,8,1965,1147,3040,215,3674,2708,28,1605,1769,1564,1079,335,False,0.7110000000000001,imputed_v4,,,117.6
20193,11440555,아현동,CS100003,일식음식점,10,749913844,749913703,141,115649574,160034577,152633691,164682402,156913415,144,38,1553,40,185928953,2475341,371371138,190136817,463357157,286556687,198,206786894,191678954,203853828,114682886,32911082,1782,1779,2,307,364,344,404,355,3,0,2,1,916,15,543,302,975,807,3,424,504,545,219,84,False,0.7110000000000001,imputed_v4,,,116.7
20193,11440555,아현동,CS100004,양식음식점,6,1298263573,855540560,442723012,65521644,188309497,123222845,190344497,251295763,302389669,177179657,74699,8595,268610858,245774974,732996595,50797849,617777878,680485694,6294944,455113060,366912476,259055281,161252186,49635623,9682,7059,2623,527,1428,1290,1608,1861,1828,1136,38,6,2871,1509,4553,703,4932,4749,127,3435,2879,1877,1116,246,True,0.4,extrapolated_v4,,,116.7
20193,11440555,아현동,CS100006,패스트푸드점,3,128204470,89164748,39039722,320884,21009316,18426592,24864967,22332231,22479470,18771007,501,1550745,44394814,25224247,55833785,1200376,64376058,63828412,462353,28910207,32921162,31869819,21924200,12116727,3725,2815,910,96,671,614,710,594,565,473,2,94,1394,657,1490,86,1699,2026,28,723,970,1034,646,321,False,0.7110000000000001,imputed_v4,,,116.7
20193,11440600,대흥동,CS100007,치킨전문점,7,841312599,573607584,267705014,91840982,98066183,101314308,122261346,161192626,123171092,143466058,66653352,29447,73939045,62925101,420197970,217567681,491868293,349444305,1691916,148278117,145639510,218535737,177604482,149562833,5042,3415,1626,553,579,647,688,941,889,742,396,7,299,398,2843,1097,3121,1920,32,719,1069,1237,1305,677,False,0.7110000000000001,imputed_v4,,,116.7
