STDR_YYQU_CD,행정동코드,행정동명,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,STOR_CO,SIMILR_INDUTY_STOR_CO,OPBIZ_STOR_CO,CLSBIZ_STOR_CO,FRC_STOR_CO,CLSBIZ_RT
20191,11440585,도화동,CS100008,분식전문점,24,34,1,1,10,3
20191,11440585,도화동,CS100009,호프-간이주점,69,79,3,0,10,0
20191,11440585,도화동,CS100010,커피-음료,34,55,3,0,21,0
20192,11440585,도화동,CS100001,한식음식점,145,160,4,4,15,3
20192,11440585,도화동,CS100002,중식음식점,12,14,1,0,2,0
20192,11440585,도화동,CS100003,일식음식점,13,16,0,1,3,6
20192,11440585,도화동,CS100004,양식음식점,14,16,0,1,2,6
20192,11440585,도화동,CS100005,제과점,10,17,1,0,7,0
20192,11440585,도화동,CS100006,패스트푸드점,6,13,1,0,7,0
20192,11440585,도화동,CS100007,치킨전문점,8,20,0,3,12,15
20192,11440585,도화동,CS100008,분식전문점,26,36,3,1,10,3
20192,11440585,도화동,CS100009,호프-간이주점,68,78,1,2,10,3
20192,11440585,도화동,CS100010,커피-음료,36,58,3,0,22,0
20193,11440585,도화동,CS100001,한식음식점,148,161,11,10,13,6
20193,11440585,도화동,CS100002,중식음식점,12,14,0,0,2,0
20193,11440585,도화동,CS100003,일식음식점,14,17,1,0,3,0
20193,11440585,도화동,CS100004,양식음식점,15,17,1,0,2,0
20193,11440585,도화동,CS100005,제과점,10,17,0,0,7,0
20193,11440585,도화동,CS100006,패스트푸드점,6,13,0,0,7,0
20193,11440585,도화동,CS100007,치킨전문점,7,19,0,1,12,5
20193,11440585,도화동,CS100008,분식전문점,25,35,0,1,10,3
20193,11440585,도화동,CS100009,호프-간이주점,70,80,3,1,10,1
20193,11440585,도화동,CS100010,커피-음료,35,57,4,5,22,9
20194,11440585,도화동,CS100001,한식음식점,149,163,7,5,14,3
20194,11440585,도화동,CS100002,중식음식점,13,15,1,0,2,0
20194,11440585,도화동,CS100003,일식음식점,17,20,3,0,3,0
20194,11440585,도화동,CS100004,양식음식점,15,17,0,0,2,0
20194,11440585,도화동,CS100005,제과점,10,17,0,0,7,0
20194,11440585,도화동,CS100006,패스트푸드점,6,14,1,0,8,0
20194,11440585,도화동,CS100007,치킨전문점,8,20,2,1,12,5
20194,11440585,도화동,CS100008,분식전문점,26,36,1,0,10,0
20194,11440585,도화동,CS100009,호프-간이주점,69,78,1,3,9,4
20194,11440585,도화동,CS100010,커피-음료,34,57,7,7,23,12
20201,11440585,도화동,CS100001,한식음식점,150,165,6,4,15,2
20201,11440585,도화동,CS100002,중식음식점,13,15,0,0,2,0
20201,11440585,도화동,CS100003,일식음식점,17,20,3,3,3,15
20201,11440585,도화동,CS100004,양식음식점,14,17,1,1,3,6
20201,11440585,도화동,CS100005,제과점,11,18,1,0,7,0
20201,11440585,도화동,CS100006,패스트푸드점,6,13,0,1,7,8
20201,11440585,도화동,CS100007,치킨전문점,8,20,0,0,12,0
20201,11440585,도화동,CS100008,분식전문점,26,36,2,2,10,6
20201,11440585,도화동,CS100009,호프-간이주점,68,75,1,4,7,5
20201,11440585,도화동,CS100010,커피-음료,35,58,3,2,23,3
20202,11440585,도화동,CS100001,한식음식점,149,164,2,3,15,2
20202,11440585,도화동,CS100002,중식음식점,15,17,2,0,2,0
20202,11440585,도화동,CS100003,일식음식점,16,19,0,1,3,5
20202,11440585,도화동,CS100004,양식음식점,14,17,0,0,3,0
