quarter,dong_code,dong_name,industry_code,industry_name,monthly_sales,monthly_count
20193,11440565,공덕동,CS100002,중식음식점,76469697,3498
20193,11440565,공덕동,CS100003,일식음식점,666626358,10946
20193,11440565,공덕동,CS100004,양식음식점,660226888,9685
20193,11440565,공덕동,CS100005,제과점,339713357,18031
20193,11440565,공덕동,CS100006,패스트푸드점,222601836,5544
20193,11440565,공덕동,CS100007,치킨전문점,221353625,7703
20193,11440565,공덕동,CS100008,분식전문점,642575427,56140
20193,11440565,공덕동,CS100009,호프-간이주점,1425783792,26892
20193,11440565,공덕동,CS100010,커피-음료,699562820,140097
20193,11440565,공덕동,CS200001,일반교습학원,185399930,684
20193,11440565,공덕동,CS200003,예술학원,29660617,154
20193,11440565,공덕동,CS200005,스포츠 강습,58177640,299
20193,11440565,공덕동,CS200006,일반의원,3930903556,145539
20193,11440565,공덕동,CS200007,치과의원,1840770135,13366
20193,11440565,공덕동,CS200008,한의원,456341627,15992
20193,11440565,공덕동,CS200016,당구장,70260537,4169
20193,11440565,공덕동,CS200019,PC방,87025726,17678
20193,11440565,공덕동,CS200024,스포츠클럽,280290997,606
20193,11440565,공덕동,CS200025,자동차수리,562128387,4308
20193,11440565,공덕동,CS200026,자동차미용,112091260,3175
20193,11440565,공덕동,CS200028,미용실,360433522,10881
20193,11440565,공덕동,CS200030,피부관리실,266363359,789
20193,11440565,공덕동,CS200031,세탁소,20930477,1309
20193,11440565,공덕동,CS200034,여관,34814273,1017
20193,11440565,공덕동,CS200037,노래방,287259706,4232
20193,11440565,공덕동,CS300001,슈퍼마켓,2033021999,128241
20193,11440565,공덕동,CS300002,편의점,1924358425,309370
20193,11440565,공덕동,CS300004,핸드폰,237296837,10081
20193,11440565,공덕동,CS300006,미곡판매,7722963,347
20193,11440565,공덕동,CS300007,육류판매,595231614,16720
20193,11440565,공덕동,CS300009,청과상,135013739,4484
20193,11440565,공덕동,CS300010,반찬가게,446013543,18153
20193,11440565,공덕동,CS300011,일반의류,158915030,1428
20193,11440565,공덕동,CS300017,시계및귀금속,9473684,213
20193,11440565,공덕동,CS300018,의약품,2227120349,185507
20193,11440565,공덕동,CS300021,문구,127964557,7413
20193,11440565,공덕동,CS300022,화장품,277297434,1390
20193,11440565,공덕동,CS300024,운동/경기용품,2505509,430
20193,11440565,공덕동,CS300028,화초,81744201,2011
20193,11440565,공덕동,CS300029,애완동물,39847701,1283
20193,11440565,공덕동,CS300031,가구,2272104197,3895
20193,11440565,공덕동,CS300033,철물점,40409087,2743
20193,11440565,공덕동,CS300035,인테리어,12649097,1045
20193,11440565,공덕동,CS300036,조명용품,249388391,8694
20193,11440565,공덕동,CS300043,전자상거래업,2354829,42
20194,11440565,공덕동,CS100001,한식음식점,10609591480,260848
20194,11440565,공덕동,CS100002,중식음식점,83508803,3845
20194,11440565,공덕동,CS100003,일식음식점,811324853,11898
20194,11440565,공덕동,CS100004,양식음식점,1036310601,11184
20194,11440565,공덕동,CS100005,제과점,482840079,23334
20194,11440565,공덕동,CS100006,패스트푸드점,230277227,5139
20194,11440565,공덕동,CS100007,치킨전문점,221033503,7691
20194,11440565,공덕동,CS100008,분식전문점,555484928,53748
20194,11440565,공덕동,CS100009,호프-간이주점,1333285531,26345
20194,11440565,공덕동,CS100010,커피-음료,616093497,124623
20194,11440565,공덕동,CS200001,일반교습학원,167611602,671
20194,11440565,공덕동,CS200003,예술학원,30779886,210
20194,11440565,공덕동,CS200005,스포츠 강습,80808540,294
20194,11440565,공덕동,CS200006,일반의원,4527648130,170841
20194,11440565,공덕동,CS200007,치과의원,1805170051,13607
20194,11440565,공덕동,CS200008,한의원,446383018,15189
20194,11440565,공덕동,CS200016,당구장,77363334,4590
20194,11440565,공덕동,CS200019,PC방,78378987,16018
20194,11440565,공덕동,CS200024,스포츠클럽,394504297,515
20194,11440565,공덕동,CS200025,자동차수리,557732863,4667
20194,11440565,공덕동,CS200026,자동차미용,120882326,3320
20194,11440565,공덕동,CS200028,미용실,349998622,11038
20194,11440565,공덕동,CS200030,피부관리실,314676547,627
20194,11440565,공덕동,CS200031,세탁소,34916092,2305
20194,11440565,공덕동,CS200034,여관,224707799,2074
20194,11440565,공덕동,CS200037,노래방,414744659,5123
20194,11440565,공덕동,CS300001,슈퍼마켓,2042038458,122975
